Nama Produk,Lemak Total (g),Lemak Jenuh (g),Gula (g),Natrium (g),Sajian per Kemasan,Takaran Saji,Kategori
Pocari Sweat,0.0,0.0,14,0.12,1.5,250.0,Minuman Isotonik
Isoplus,0.0,0.0,10,0.085,2.0,175.0,Minuman Isotonik
Le Minerale,0.0,0.0,0,0.02,2.0,330.0,Air Mineral
MIZONE White Isotonic Active,0.0,0.0,8,0.065,2.0,500.0,Minuman Isotonik
You C1000 Vitamin Mango,0.0,0.0,20,0.055,1.0,140.0,Minuman Soda
Cool Time Coconut Water,0.0,0.0,12,0.045,2.0,200.0,Minuman Sari Buah
Adem Sari Ching Ku Herbal Lemon,0.0,0.0,16,0.095,1.5,250.0,Minuman Berperisa
Buavita Jambu,0.0,0.0,20,0.075,1.0,245.0,Minuman Sari Buah
Buavita Mangga,0.0,0.0,20,0.085,1.0,245.0,Minuman Sari Buah
Buavita Jeruk,0.0,0.0,21,0.015,1.0,245.0,Minuman Sari Buah
Buavita Leci,0.0,0.0,20,0.055,1.0,245.0,Minuman Sari Buah
Fruit Tea Apel,0.0,0.0,22,0.06,1.0,200.0,Minuman Teh
Tehbotol Sosro Original,0.0,0.0,16,0.025,1.5,225.0,Minuman Teh
Fruit Tea Lemon,0.0,0.0,16,0.085,1.5,250.0,Minuman Teh
NU Choco Hazeltea,2.0,2.0,17,0.06,1.5,200.0,Minuman Teh
NU Milk Tea,3.5,3.5,16,0.14,1.5,200.0,Minuman Teh
NU Teh Tarik,3.5,3.0,14,0.13,1.5,200.0,Minuman Teh
Thai Milk Coffee,5.0,1.5,17,0.14,1.0,250.0,Minuman Kopi
Ichitan Brown Sugar Milk,5.0,4.0,15,0.13,1.0,300.0,Minuman Rasa
Ichitan Thai Milk Tea,5.0,5.0,17,0.13,1.0,300.0,Minuman Teh
Teh Pucuk Harum,0.0,0.0,18,0.01,1.5,240.0,Minuman Teh
Frestea Lemon,0.0,0.0,12,0.015,1.5,250.0,Minuman Teh
Frestea Melati,0.0,0.0,15,0.015,2.0,250.0,Minuman Teh
Frestea Apel,0.0,0.0,19,0.03,1.5,250.0,Minuman Teh
Frestea Mariksa,0.0,0.0,20,0.02,1.5,250.0,Minuman Teh
Teh Pucuk Harum Less Sugar,0.0,0.0,12,0.01,1.5,240.0,Minuman Teh
Minute Maid Pulpy 4x Extra Vit C,0.0,0.0,27,0.045,3.0,300.0,Minuman Buah
Nutriboost Stroberi,2.0,1.0,23,0.125,1.0,250.0,Minuman Mengandung Susu
Nutriboost Jeruk,2.0,1.0,22,0.125,1.0,250.0,Minuman Mengandung Susu
Coca Cola Zero Sugar,0.0,0.0,0,0.02,1.5,250.0,Minuman Berkarbonasi
Fanta Jeruk,0.0,0.0,11,0.05,1.5,250.0,Minuman Berkarbonasi
Fanta Stroberi,0.0,0.0,11,0.025,1.5,250.0,Minuman Berkarbonasi
Sprite Lemon & Jeruk Nipis,0.0,0.0,12,0.04,1.5,250.0,Minuman Berkarbonasi
Fanta Minuman Air Soda,0.0,0.0,0,0.01,1.0,250.0,Air Soda
Nipis Madu Lime Soda,0.0,0.0,22,0.075,1.5,240.0,Minuman Berkarbonasi
Floridina Orange Coco,0.0,0.0,21,0.025,2.0,175.0,Minuman Rasa
Good Day Original Cappuccino,4.0,4.0,24,0.04,1.0,250.0,Minuman Kopi
Good Day Funtastic Mocacinno,2.5,2.5,23,0.08,1.0,250.0,Minuman Kopi
Golda Coffee Cappuccino,5.0,5.0,19,0.08,1.0,200.0,Minuman Kopi
Good Day Avocado Delight,0.0,0.0,23,0.075,1.0,250.0,Minuman Kopi
Grass Jelly,0.0,0.0,23,0.055,1.0,310.0,Minuman Cincau
Cincau Selasih,0.0,0.0,25,0.025,1.0,310.0,Minuman Cincau
You C1000 Vitamin Apple,0.0,0.0,14,0.045,1.0,140.0,Minuman Soda
You C1000 Vitamin Lemon,0.0,0.0,16,0.1,1.0,140.0,Minuman Soda
You C1000 Vitamin Orange,0.0,0.0,20,0.06,1.0,140.0,Minuman Soda
Kratingdaeng Red Bull,0.0,0.0,0,0.0,1.0,250.0,Suplemen Makanan
Mr Jussie Susu Cokelat,0.0,0.0,8,0.045,1.0,90.0,Minuman Rasa Susu
Mr Jussie Fruity Jeruk,0.0,0.0,9,0.025,1.0,90.0,Minuman Rasa Susu
Mr Jussie Milky Stroberi,0.0,0.0,10,0.02,1.0,90.0,Minuman Rasa Susu
Mr Jussie Milky Anggur,0.0,0.0,9,0.025,1.0,90.0,Minuman Rasa Susu
Tropicana Slim Almond Drink Chocolicious,3.0,0.5,0,0.09,1.0,190.0,Minuman Almond
Tropicana Slim Oat Drink Japanese Cantaloupe Melon,3.0,1.0,0,0.125,1.0,190.0,Minuman Oat
Tropicana Slim Collagen Shot Peach Blossom,0.0,0.0,5,0.025,1.0,190.0,Minuman Rasa
Tropicana Slim Oat Drink Vanillicious,2.5,1.5,0,0.07,1.0,190.0,Minuman Oat
Oatside Barista Blend,6.0,0.5,6,0.08,1.0,200.0,Minuman Oat
Oatside Chocolate,6.0,1.0,10,0.09,1.0,200.0,Minuman Oat
Oatside Mocha,6.0,0.0,14,0.08,1.0,200.0,Minuman Oat
Oatside Caramel Macchiato,6.0,0.0,14,0.08,1.0,200.0,Minuman Oat
Oatside Coffee,7.0,0.5,12,0.09,1.0,200.0,Minuman Oat
Luwak White Koffie Original,1.5,1.5,12,0.015,1.0,20.0,Minuman Serbuk Kopi
Kopi Kenangan Kopi Susu Alpukat,3.0,3.0,20,0.16,1.0,220.0,Minuman Kopi
Kopi Kenangan Cappucino Mantancino,3.5,3.5,20,0.18,1.0,220.0,Minuman Kopi
Kopi Kenangan Original Black Coffee,0.0,0.0,13,0.06,1.0,220.0,Minuman Kopi
Green Sands Original Lime & Apple,0.0,0.0,19,0.03,1.0,250.0,Minuman Berkarbonasi
Bintang 00,0.0,0.0,14,0.025,1.5,250.0,Minuman Malt
Nescafe Latte,3.0,3.5,16,0.115,1.0,220.0,Minuman Kopi Susu
Nescafe Caramel Macchiato,3.0,3.0,16,0.115,1.0,220.0,Minuman Kopi Susu
Nescafe Cappuccino,4.0,3.5,14,0.13,1.0,220.0,Minuman Kopi Susu
Thai Milk Green Tea,5.0,5.0,14,0.14,1.0,250.0,Minuman Teh HIjau Susu
