Nama Produk,Lemak Total (g),Lemak Jenuh (g),Gula (g),Natrium (g),Sajian per Kemasan,Takaran Saji,Kategori,Gula (g) per 100 ml,Lemak Total (g) per 100 ml,Natrium (g) per 100 ml,Gula (g) per 100 ml_scaled,Lemak Total (g) per 100 ml_scaled,Natrium (g) per 100 ml_scaled,Klaster,Klaster_HC,Klaster_DBSCAN
Pocari Sweat,0.0,0.0,14,0.12,1.5,250.0,Minuman Isotonik,5.6000000000000005,0.0,0.0479999999999999,-0.8970609213583951,-0.6493583970051195,-0.3635339061872112,0,1,0
Isoplus,0.0,0.0,10,0.085,2.0,175.0,Minuman Isotonik,5.714285714285714,0.0,0.0485714285714285,-0.8934880212233348,-0.6493583970051195,-0.3604099701171651,0,1,0
Le Minerale,0.0,0.0,0,0.02,2.0,330.0,Air Mineral,0.0,0.0,0.006060606060606,-1.072133027976352,-0.6493583970051195,-0.5928118807827133,0,1,0
MIZONE White Isotonic Active,0.0,0.0,8,0.065,2.0,500.0,Minuman Isotonik,1.6,0.0,0.013,-1.0221124260855072,-0.6493583970051195,-0.5548749904775326,0,1,0
You C1000 Vitamin Mango,0.0,0.0,20,0.055,1.0,140.0,Minuman Soda,14.285714285714285,0.0,0.0392857142857142,-0.625520511093809,-0.6493583970051195,-0.4111739312554137,0,1,0
Cool Time Coconut Water,0.0,0.0,12,0.045,2.0,200.0,Minuman Sari Buah,6.0,0.0,0.0225,-0.8845557708856839,-0.6493583970051195,-0.5029395533130168,0,1,0
Adem Sari Ching Ku Herbal Lemon,0.0,0.0,16,0.095,1.5,250.0,Minuman Berperisa,6.4,0.0,0.038,-0.8720506204129729,-0.6493583970051195,-0.4182027874130174,0,1,0
Buavita Jambu,0.0,0.0,20,0.075,1.0,245.0,Minuman Sari Buah,8.16326530612245,0.0,0.0306122448979591,-0.8169258754720418,-0.6493583970051195,-0.4585908180328987,0,1,0
Buavita Mangga,0.0,0.0,20,0.085,1.0,245.0,Minuman Sari Buah,8.16326530612245,0.0,0.0346938775510204,-0.8169258754720418,-0.6493583970051195,-0.436276988961141,0,1,0
Buavita Jeruk,0.0,0.0,21,0.015,1.0,245.0,Minuman Sari Buah,8.571428571428571,0.0,0.0061224489795918,-0.8041655178468263,-0.6493583970051195,-0.5924737924634442,0,1,0
Buavita Leci,0.0,0.0,20,0.055,1.0,245.0,Minuman Sari Buah,8.16326530612245,0.0,0.0224489795918367,-0.8169258754720418,-0.6493583970051195,-0.5032184761764138,0,1,0
Fruit Tea Apel,0.0,0.0,22,0.06,1.0,200.0,Minuman Teh,11.0,0.0,0.03,-0.7282413899767939,-0.6493583970051195,-0.4619378923936623,0,1,0
Tehbotol Sosro Original,0.0,0.0,16,0.025,1.5,225.0,Minuman Teh,7.111111111111111,0.0,0.0111111111111111,-0.8498192417948195,-0.6493583970051195,-0.5652013347090739,0,1,0
Fruit Tea Lemon,0.0,0.0,16,0.085,1.5,250.0,Minuman Teh,6.4,0.0,0.034,-0.8720506204129729,-0.6493583970051195,-0.4400703399033398,0,1,0
NU Choco Hazeltea,2.0,2.0,17,0.06,1.5,200.0,Minuman Teh,8.5,1.0,0.03,-0.8063985804312389,-0.4409935006345256,-0.4619378923936623,0,1,0
NU Milk Tea,3.5,3.5,16,0.14,1.5,200.0,Minuman Teh,8.0,1.7500000000000002,0.07,-0.822030018522128,-0.2847198283565801,-0.2432623674904377,0,1,0
NU Teh Tarik,3.5,3.0,14,0.13,1.5,200.0,Minuman Teh,7.000000000000001,1.7500000000000002,0.065,-0.853292894703906,-0.2847198283565801,-0.2705968081033408,0,1,0
Thai Milk Coffee,5.0,1.5,17,0.14,1.0,250.0,Minuman Kopi,6.800000000000001,2.0,0.056,-0.8595454699402616,-0.2326286042639317,-0.3197988012065663,0,1,0
Ichitan Brown Sugar Milk,5.0,4.0,15,0.13,1.0,300.0,Minuman Rasa,5.0,1.6666666666666667,0.0433333333333333,-0.915818647067462,-0.3020835697207963,-0.3890460507592541,0,1,0
Ichitan Thai Milk Tea,5.0,5.0,17,0.13,1.0,300.0,Minuman Teh,5.666666666666666,1.6666666666666667,0.0433333333333333,-0.8949767296129434,-0.3020835697207963,-0.3890460507592541,0,1,0
Teh Pucuk Harum,0.0,0.0,18,0.01,1.5,240.0,Minuman Teh,7.5,0.0,0.0041666666666666,-0.8376614566130169,-0.6493583970051195,-0.6031658355603281,0,1,0
Frestea Lemon,0.0,0.0,12,0.015,1.5,250.0,Minuman Teh,4.8,0.0,0.0059999999999999,-0.9220712223038176,-0.6493583970051195,-0.5931432073355969,0,1,0
Frestea Melati,0.0,0.0,15,0.015,2.0,250.0,Minuman Teh,6.0,0.0,0.0059999999999999,-0.8845557708856839,-0.6493583970051195,-0.5931432073355969,0,1,0
Frestea Apel,0.0,0.0,19,0.03,1.5,250.0,Minuman Teh,7.6,0.0,0.0119999999999999,-0.8345351689948391,-0.6493583970051195,-0.5603418786001133,0,1,0
Frestea Mariksa,0.0,0.0,20,0.02,1.5,250.0,Minuman Teh,8.0,0.0,0.008,-0.822030018522128,-0.6493583970051195,-0.5822094310904358,0,1,0
Teh Pucuk Harum Less Sugar,0.0,0.0,12,0.01,1.5,240.0,Minuman Teh,5.0,0.0,0.0041666666666666,-0.915818647067462,-0.6493583970051195,-0.6031658355603281,0,1,0
