Nama Produk,Lemak Total (g),Lemak Jenuh (g),Gula (g),Natrium (g),Sajian per Kemasan,Takaran Saji,Kategori,Gula (g) per 100 ml,Lemak Total (g) per 100 ml,Natrium (g) per 100 ml
Pocari Sweat,0.0,0.0,14,0.12,1.5,250.0,Minuman Isotonik,5.6000000000000005,0.0,0.047999999999999994
Isoplus,0.0,0.0,10,0.085,2.0,175.0,Minuman Isotonik,5.714285714285714,0.0,0.04857142857142858
Le Minerale,0.0,0.0,0,0.02,2.0,330.0,Air Mineral,0.0,0.0,0.006060606060606061
MIZONE White Isotonic Active,0.0,0.0,8,0.065,2.0,500.0,Minuman Isotonik,1.6,0.0,0.013000000000000001
You C1000 Vitamin Mango,0.0,0.0,20,0.055,1.0,140.0,Minuman Soda,14.285714285714285,0.0,0.039285714285714285
Cool Time Coconut Water,0.0,0.0,12,0.045,2.0,200.0,Minuman Sari Buah,6.0,0.0,0.0225
Adem Sari Ching Ku Herbal Lemon,0.0,0.0,16,0.095,1.5,250.0,Minuman Berperisa,6.4,0.0,0.038
Buavita Jambu,0.0,0.0,20,0.075,1.0,245.0,Minuman Sari Buah,8.16326530612245,0.0,0.030612244897959183
Buavita Mangga,0.0,0.0,20,0.085,1.0,245.0,Minuman Sari Buah,8.16326530612245,0.0,0.03469387755102041
Buavita Jeruk,0.0,0.0,21,0.015,1.0,245.0,Minuman Sari Buah,8.571428571428571,0.0,0.006122448979591836
Buavita Leci,0.0,0.0,20,0.055,1.0,245.0,Minuman Sari Buah,8.16326530612245,0.0,0.022448979591836733
Fruit Tea Apel,0.0,0.0,22,0.06,1.0,200.0,Minuman Teh,11.0,0.0,0.03
Tehbotol Sosro Original,0.0,0.0,16,0.025,1.5,225.0,Minuman Teh,7.111111111111111,0.0,0.011111111111111112
Fruit Tea Lemon,0.0,0.0,16,0.085,1.5,250.0,Minuman Teh,6.4,0.0,0.034
NU Choco Hazeltea,2.0,2.0,17,0.06,1.5,200.0,Minuman Teh,8.5,1.0,0.03
NU Milk Tea,3.5,3.5,16,0.14,1.5,200.0,Minuman Teh,8.0,1.7500000000000002,0.07
NU Teh Tarik,3.5,3.0,14,0.13,1.5,200.0,Minuman Teh,7.000000000000001,1.7500000000000002,0.065
Thai Milk Coffee,5.0,1.5,17,0.14,1.0,250.0,Minuman Kopi,6.800000000000001,2.0,0.05600000000000001
Ichitan Brown Sugar Milk,5.0,4.0,15,0.13,1.0,300.0,Minuman Rasa,5.0,1.6666666666666667,0.043333333333333335
Ichitan Thai Milk Tea,5.0,5.0,17,0.13,1.0,300.0,Minuman Teh,5.666666666666666,1.6666666666666667,0.043333333333333335
Teh Pucuk Harum,0.0,0.0,18,0.01,1.5,240.0,Minuman Teh,7.5,0.0,0.004166666666666667
Frestea Lemon,0.0,0.0,12,0.015,1.5,250.0,Minuman Teh,4.8,0.0,0.005999999999999999
Frestea Melati,0.0,0.0,15,0.015,2.0,250.0,Minuman Teh,6.0,0.0,0.005999999999999999
Frestea Apel,0.0,0.0,19,0.03,1.5,250.0,Minuman Teh,7.6,0.0,0.011999999999999999
Frestea Mariksa,0.0,0.0,20,0.02,1.5,250.0,Minuman Teh,8.0,0.0,0.008
Teh Pucuk Harum Less Sugar,0.0,0.0,12,0.01,1.5,240.0,Minuman Teh,5.0,0.0,0.004166666666666667
